                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.85153,                0.91542,                 1.1817,                0.80987,                0.75362,                0.83145,                0.62361,                0.90967,                0.78498,                 1.1692,               0.002575,               0.002575,               0.002575
                     77,                0.84193,                0.90745,                 1.1765,                0.80826,                0.75455,                0.83142,                0.62361,                 0.9094,                0.78443,                 1.1689,               0.002476,               0.002476,               0.002476
                     78,                0.84252,                 0.9064,                 1.1769,                0.81475,                0.75077,                 0.8308,                0.62353,                0.90922,                0.78376,                 1.1686,               0.002377,               0.002377,               0.002377
                     79,                0.84006,                0.88991,                 1.1739,                0.81425,                0.75074,                0.83091,                0.62371,                0.90886,                0.78316,                 1.1681,               0.002278,               0.002278,               0.002278
                     80,                0.83571,                0.89259,                 1.1704,                0.81555,                0.75077,                0.83168,                0.62371,                0.90875,                0.78264,                 1.1678,               0.002179,               0.002179,               0.002179
                     81,                0.83224,                0.88863,                 1.1704,                 0.8147,                0.75098,                0.83138,                0.62362,                0.90866,                0.78229,                 1.1679,                0.00208,                0.00208,                0.00208
                     82,                0.83242,                0.88311,                 1.1656,                0.82108,                0.74852,                0.83153,                0.62409,                 0.9087,                0.78199,                 1.1679,               0.001981,               0.001981,               0.001981
                     83,                0.83256,                 0.8789,                 1.1654,                0.82114,                0.74858,                0.83159,                0.62426,                0.90865,                0.78143,                 1.1677,               0.001882,               0.001882,               0.001882
                     84,                0.82383,                0.86783,                 1.1649,                0.82264,                0.74912,                0.83196,                0.62425,                0.90865,                0.78075,                 1.1677,               0.001783,               0.001783,               0.001783
                     85,                0.82227,                0.86901,                 1.1622,                0.82175,                0.74975,                0.83243,                0.62437,                0.90858,                0.78053,                 1.1677,               0.001684,               0.001684,               0.001684
                     86,                0.82424,                0.86295,                 1.1609,                 0.8187,                 0.7522,                0.83176,                0.62464,                0.90844,                0.77994,                 1.1675,               0.001585,               0.001585,               0.001585
                     87,                0.81868,                0.85247,                 1.1598,                0.81934,                0.75099,                0.83201,                0.62502,                0.90838,                0.77949,                 1.1673,               0.001486,               0.001486,               0.001486
                     88,                0.80978,                0.84816,                 1.1543,                0.81874,                0.75135,                0.83276,                0.62512,                0.90828,                0.77912,                 1.1673,               0.001387,               0.001387,               0.001387
                     89,                0.81032,                0.84435,                 1.1546,                0.81921,                0.75123,                0.83277,                0.62532,                0.90837,                 0.7786,                 1.1672,               0.001288,               0.001288,               0.001288
                     90,                 0.8096,                0.84067,                 1.1523,                0.81761,                0.75356,                0.83285,                0.62578,                 0.9082,                0.77849,                 1.1671,               0.001189,               0.001189,               0.001189
                     91,                0.80662,                0.83606,                 1.1517,                0.81365,                0.75769,                0.83283,                0.62584,                 0.9082,                0.77828,                 1.1671,                0.00109,                0.00109,                0.00109
                     92,                 0.8004,                0.82906,                 1.1508,                 0.8118,                0.75977,                0.83288,                0.62605,                0.90828,                0.77789,                 1.1671,               0.000991,               0.000991,               0.000991
                     93,                0.80073,                   0.82,                 1.1465,                0.81725,                0.75585,                0.83297,                0.62631,                0.90856,                 0.7776,                 1.1673,               0.000892,               0.000892,               0.000892
                     94,                0.79564,                0.82038,                 1.1439,                0.81817,                0.75395,                0.83297,                0.62596,                0.90854,                 0.7772,                 1.1671,               0.000793,               0.000793,               0.000793
                     95,                0.79586,                0.81513,                 1.1451,                0.81372,                0.75781,                0.83287,                0.62608,                0.90841,                0.77675,                 1.1669,               0.000694,               0.000694,               0.000694
                     96,                 0.7927,                0.81254,                 1.1434,                0.81645,                  0.756,                0.83297,                0.62614,                0.90838,                0.77655,                 1.1668,               0.000595,               0.000595,               0.000595
                     97,                0.78503,                0.79985,                  1.139,                0.81688,                0.75491,                0.83306,                0.62655,                 0.9085,                  0.776,                 1.1668,               0.000496,               0.000496,               0.000496
                     98,                0.78715,                 0.8004,                 1.1397,                  0.815,                0.75737,                0.83312,                0.62668,                0.90851,                0.77575,                 1.1668,               0.000397,               0.000397,               0.000397
                     99,                0.78592,                0.79743,                 1.1378,                0.81474,                0.75804,                0.83314,                0.62671,                 0.9086,                0.77564,                 1.1669,               0.000298,               0.000298,               0.000298
